"Label","Deposit","Lot","FastEMA","SlowEMA","Timeframe","Net2023","Net2024","Net2025","MinYearNet","Meets100kEachYear"
"h1_34_89_l7_dep40000_thresh","40000","7","34","89","H1","111932.8","284152.4","937743.8","111932.8","True"
"h1_34_89_l7_dep50000_thresh","50000","7","34","89","H1","111932.8","284152.4","937743.8","111932.8","True"
"h1_34_89_l7_dep45000_thresh","45000","7","34","89","H1","111932.8","284152.4","937743.8","111932.8","True"
"h1_f50_s120_l7_dep25k_scan2","25000","7","50","120","H1","-24792.6","-24785.6","911411.2","-24792.6","False"
"h1_f60_s120_l7_dep25k_scan2","25000","7","60","120","H1","-24792.6","290274.6","870860.2","-24792.6","False"
"h1_f70_s150_l7_dep25k_scan2","25000","7","70","150","H1","-24956.4","-24988.6","728672","-24988.6","False"
"h1_f55_s144_l7_dep25k_try","25000","7","55","144","H1","-25005.4","314881","737095.8","-25005.4","False"
"h1_f90_s180_l7_dep25k_scan2","25000","7","90","180","H1","118301.4","-25632.6","793634.8","-25632.6","False"
"h1_f30_s100_l10_dep25k_try","25000","10","30","100","H1","-24978","-25732","1268264","-25732","False"
"h1_f40_s120_l12_dep25k_try","25000","12","40","120","H1","-26385.6","-24818.4","1554280.8","-26385.6","False"
"h1_f80_s160_l7_dep25k_scan2","25000","7","80","160","H1","133313.6","-26514.6","-24767.4","-26514.6","False"
"h1_34_89_l7_dep25000_thresh","25000","7","34","89","H1","-27265","-24414.6","937743.8","-27265","False"
"h1_f40_s120_l9_dep25k_try","25000","9","40","120","H1","-28195.2","-25984.8","1165710.6","-28195.2","False"
"h1_f30_s100_l7_dep25k_try","25000","7","30","100","H1","-28273","-24900.4","887784.8","-28273","False"
"h1_f55_s144_l10_dep25k_try","25000","10","55","144","H1","-24978","-28884","1052994","-28884","False"
"h1_f50_s100_l7_dep25k_scan2","25000","7","50","100","H1","-24792.6","-29104.6","880688.2","-29104.6","False"
"h1_f50_s75_l7_dep25k_scan2","25000","7","50","75","H1","-24792.6","-30459.8","874329.4","-30459.8","False"
"h1_f25_s150_l10_dep25k_try","25000","10","25","150","H1","-31390","-31192","1351454","-31390","False"
"h1_f40_s120_l7_dep25k_try","25000","7","40","120","H1","-31703","-30693.6","906663.8","-31703","False"
"h1_34_89_l7_dep30000_thresh","30000","7","34","89","H1","-31740.8","-30049.6","937743.8","-31740.8","False"
"h1_f34_s120_l7_dep25k_scan2","25000","7","34","120","H1","-32305","-30714.6","970795","-32305","False"
"h1_34_89_l7_dep35000_thresh","35000","7","34","89","H1","-35442.4","-35789.6","937743.8","-35789.6","False"
