"Start","End","Net3M"
"2023-03","2023-05","375.2"
"2023-04","2023-06","-3300.6"
"2023-05","2023-07","-7812"
"2023-06","2023-08","-7672.8"
"2023-07","2023-09","-4547.4"
"2023-08","2023-10","6242.8"
"2023-09","2023-11","13472.8"
"2023-10","2023-12","15500"
"2023-11","2024-01","2307.8"
"2023-12","2024-02","-6303.4"
"2024-01","2024-03","2770.2"
"2024-02","2024-04","7925.6"
"2024-03","2024-05","15646.4"
"2024-04","2024-06","3366.8"
"2024-05","2024-07","15486.4"
"2024-06","2024-08","1606.4"
"2024-07","2024-09","9475.2"
"2024-08","2024-10","1828.4"
"2024-09","2024-11","16590.2"
"2024-10","2024-12","11807"
"2024-11","2025-01","18961.2"
"2024-12","2025-02","21385.8"
"2025-01","2025-03","25551.6"
"2025-02","2025-04","21373.4"
"2025-03","2025-05","27595.2"
"2025-04","2025-06","23325.8"
"2025-05","2025-07","14067"
"2025-06","2025-08","-3189.6"
"2025-07","2025-09","6607.6"
"2025-08","2025-10","40222.8"
"2025-09","2025-11","45511.6"
"2025-10","2025-12","47218.8"
